ID,Name,Year,IMDB Score,Budget,Length,Gross Worldwide,Oscar Nominations,Oscar Wins,Music By,Cinematography By,Film Editor,Music Nomination,Cinematography Nomination,Editing Nomination,Music Won,Cinematography Won,Editing Won,Cast 1,Cast 2,Cast 3,Best Action Nom,Best Supporting Actor Nom,Best Actor Win,Best Supporting Actor Win,Best Actress Nom,Best Actress Win,Nomination 1,Nomination 2,Nomination 3,Nomination 4,Nomination 5,Nomination 6,Nomination 7,Nomination 8,Nomination 9,Nomination 10,Nomination 11,Nomination 12,Nomination 13,Win 1,Win 2,Win 3,Win 4,Win 5,Win 6,Win 7
1,Following,1998,7.5,6000,69,48482,0,0,David Julyan,Christopher Nolan,Gareth Heal,0,0,0,0,0,0,Jeremy Theobald,Alex Haw,Lucy Russell,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2,Memento,2000,8.4,9000000,113,39723096,2,0,David Julyan,Wally Pfister,Dody Dorn,0,0,1,0,0,0,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,0,0,0,0,0,0,Best Original Screenplay (Christopher Nolan),Best Film Editing (Dody Dorn),,,,,,,,,,,,,,,,,,
3,Insomnia,2002,7.2,46000000,118,113758770,0,0,David Julyan,Wally Pfister,Dody Dorn,0,0,0,0,0,0,Al Pacino,Robin Williams,Hilary Swank,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
4,Batman Begins,2005,8.2,150000000,140,373413297,1,0,Hans Zimmer,Wally Pfister,Lee Smith,0,1,0,0,0,0,Christian Bale,Michael Caine,Ken Watanabe,0,0,0,0,0,0,Best Cinematography (Wally Pfister),,,,,,,,,,,,,,,,,,,
5,The Prestige,2006,8.5,40000000,130,109676311,2,0,David Julyan,Wally Pfister,Lee Smith,0,1,0,0,0,0,Christian Bale,Hugh Jackman,Scarlett Johansson,0,0,0,0,0,0,Best Art Direction (Nathan Crowley and Julie Ochipinti),Best Cinematography (Wally Pfister),,,,,,,,,,,,,,,,,,
6,The Dark Knight,2008,9,185000000,152,1004934033,8,2,Hans Zimmer,Wally Pfister,Lee Smith,0,1,1,0,0,0,Christian Bale,Heath Ledger,Aaron Eckhart,0,1,0,1,0,0,"Best Picture (Emma Thomas, Christopher Nolan, and Charles Roven)",Best Supporting Actor (Heath Ledger),Best Art Direction (Nathan Crowley and Peter Lando),Best Cinematography (Wally Pfister),Best Sound Editing (Richard King),"Best Sound Mixing (Lora Hirschberg, Gary Rizzo, and Ed Novick)",Best Makeup (John Caglione Jr. and Conor O'Sullivan),"Best Visual Effects (Nick Davis, Chris Corbould, Tim Webber, and Pual Franklin)",,,,,,Best Supporting Actor (Heath Ledger),Best Sound Editing (Richard King),,,,,
7,Inception,2010,8.8,160000000,148,829895144,8,4,Hans Zimmer,Wally Pfister,Lee Smith,1,1,0,0,1,0,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,0,0,0,0,0,0,Best Picture (Emma Thomas and Christopher Nolan),Best Original Screenplay (Christopher Nolan),Best Original Score (Hans Zimmer),"Best Art Direction (Guy Hendrix Dyas, Larry Dias, and Doug Mowat)",Best Cinematography (Wally Pfister),"Best Sound Mixing (Lora Hirschberg, Gary A. Rizzo, and Ed Novick)",Best Sound Editing (Richard King),"Best Visual Effects (Paul Franklin, Chris Corbould, Andrew Lockley, and Peter Bebb)",,,,,,Best Cinematography (Wally Pfister),"Best Sound Mixing (Lora Hirschberg, Gary A. Rizzo, and Ed Novick)",Best Sound Editing (Richard King),"Best Visual Effects (Paul Franklin, Chris Corbould, Andrew Lockley, and Peter Bebb)",,,
8,The Dark Knight Rises,2012,8.4,250000000,164,1081041287,0,0,Hans Zimmer,Wally Pfister,Lee Smith,0,0,0,0,0,0,Christian Bale,Tom Hardy,Anne Hathaway,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
9,Interstellar,2014,8.6,165000000,169,677471339,5,1,Hans Zimmer,Hoyte Van Hoytema,Lee Smith,1,0,0,0,0,0,Matthew McConaughey,Anne Hathaway,Jessica Chastain,0,0,0,0,0,0,Best Original Score (Hans Zimmer),Best Production Design (Nathan Crowley and Gary Fettis),Best Sound Editing (Richard King),"Best Sound Mixing (Gary A. Rizzo, Gregg Landaker, and Mark Weingarten)","Best Visual Effects (Paul Franklin, Andrew Lockley, Ian Hunter, and Scott Fisher)",,,,,,,,,"Best Visual Effects (Paul Franklin, Andrew Lockley, Ian Hunter, and Scott Fisher)",,,,,,
10,Dunkirk,2017,7.9,100000000,106,526940665,8,3,Hans Zimmer,Hoyte Van Hoytema,Lee Smith,1,1,1,0,0,1,Fionn Whitehead,Barry Keoghan,Mark Rylance,0,0,0,0,0,0,Best Picture (Emma Thomas and Christopher Nolan),Best Director (Christopher Nolan),Best Cinematography (Hoyte van Hoytema),Best Film Editing (Lee Smith),Best Production Design (Nathan Crowley and Gary Fettis),Best Original Score (Hans Zimmer),Best Sound Editing (Richard King and Alex Gibson),"Best Sound Mixing (Mark Weingarten, Gregg Landaker, and Gary A. Rizzo)",,,,,,Best Film Editing (Lee Smith),Best Sound Editing (Richard King and Alex Gibson),"Best Sound Mixing (Mark Weingarten, Gregg Landaker, and Gary A. Rizzo)",,,,
11,Tenet,2020,7.9,225000000,150,363700000,2,0,Ludwig Goransson,Hoyte Van Hoytema,Jennifer Lame,0,0,0,0,0,0,John David Washington,Robert Pattinson,Elizebeth Debicki,0,0,0,0,0,0,Best Production Design (Nathan Crowley and Kathy Lucas),"Best Visual Effects (Andrew Jackson, David Lee, Andrew Lockley, and Scott Fisher)",,,,,,,,,,,,,,,,,,
12,Openheimer,2023,8.4,100000000,180,952040000,13,7,Ludwig Goransson,Hoyte Van Hoytema,Jennifer Lame,1,1,1,1,1,1,Cillian Murphy,Robert Downey Jr.,Emily Blunt,1,1,1,1,1,0,"Best Picture (Emma Thomas, Christopher Nolan, and Charles Roven)",Best Actor (Cillian Murphy),Best Supporting Actor (Robert Downey Jr.),Best Director (Christopher Nolan),Best Original Score (Ludwig Goransson),Best Cinematography (Hoyte van Hoytema),Best Film Editing (Jennifer Lame),Best Supporting Actress (Emily Blunt),Best Adapted Screenplay (Christopher Nolan),Best Costume Design (Ellen Mirojnick),"Best Production Design (Ruth De Jong, Claire Kaufman)",Best Makeup and Hairstyling (Luisa Abel),"Best Sound (Richard King, Gary A. Rizzo, and Willie D. Burton)","Best Picture (Emma Thomas, Christopher Nolan, and Charles Roven)",Best Actor (Cillian Murphy),Best Supporting Actor (Robert Downey Jr.),Best Director (Christopher Nolan),Best Original Score (Ludwig Goransson),Best Cinematography (Hoyte van Hoytema),Best Film Editing (Jennifer Lame)